ID,Severity,Start_Time,End_Time,Distance(mi),Description,Zipcode,Weather_Timestamp,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Duration,Region,State_CA,State_FL,State_Others,State_TX,City_Charlotte,City_Houston,City_Los Angeles,City_Miami,City_Orlando,City_Others,Weather_Condition_Encoded,Weather_Condition_Clear / Cloudy,Weather_Condition_Fog / Low Visibility,Weather_Condition_Others,Weather_Condition_Rain,Weather_Condition_Snow,Weather_Condition_Thunderstorms / Severe Weather
A-7215794,2,244,357,0.0,At CA-142/Chino Hills Pky - Accident.,91710,2020-01-09 03:53:00,44.0,93.0,29.25,4.0,CALM,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,113,9,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-593857,2,773,802,0.0,Lane blocked due to crash on AL-67 Beltline Rd both ways at CR-61 Old Moulton Rd.,35601,2022-06-14 12:53:00,93.0,47.0,29.45,6.0,WNW,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,3,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-3732293,2,1021,1147,3.559,Slow traffic on US-81 S - I-29 S from CR-4/Exit 79 (I-29) to Dakota Ave/Exit 73 (I-29) due to accident.,58005,2022-02-21 16:53:00,-3.0,75.0,29.33,0.25,N,28.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,126,5,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,1,0
A-932701,2,628,657,2.2300000190734863,Accident on OH-8 Northbound between Exit 7 Graham Rd and Exit 9 Steels Corners Rd.,44224,2021-08-19 10:54:00,78.0,64.0,28.97,10.0,VAR,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-1398534,2,477,539,0.0,Accident on Halsted St near College Pkwy.,60607-5138,2020-07-24 07:53:00,71.0,81.0,29.5,10.0,NW,6.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,62,6,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-691914,2,571,599,0.6100000143051147,Crash on exit ramp from I-595 Eastbound at Exits 10A 10B to I-95 Southbound.,33312,2022-03-02 09:53:00,70.0,78.0,30.11,10.0,N,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-1134262,2,471,586,0.0,Accident on 61st St at Peoria Ave.,74105-8346,2021-03-02 07:53:00,33.0,82.0,29.6,10.0,CALM,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,115,7,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-6869925,2,73,172,0.076,Incident on W MOREHEAD ST near S MINT ST Drive with caution.,28202-1521,2020-12-18 00:52:00,39.0,89.0,29.37,10.0,NNE,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
A-2189407,3,1282,1386,0.0,1 right lane blocked due to accident on I-86 Westbound at Exits 34A 34B NY-36.,14843,2019-04-26 20:54:00,50.0,71.0,28.79,10.0,NW,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-1586385,2,408,438,0.0,Accident on Broadway Blvd at Wilmot Rd.,85711,2020-01-10 06:58:00,40.0,87.0,27.21,10.0,SW,3.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,30,8,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-6749121,2,263,362,1.279,Incident on US-301 SB near ROLLING BRIDGE RD Drive with caution.,21617,2020-11-12 04:15:00,66.0,96.0,29.83,10.0,CALM,0.0,0.01,0,0,0,0,0,0,0,0,0,1,0,0,0,99,2,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0
A-6048816,2,585,608,0.2,Slow traffic on CA-41 S - CA-41 - CA-41 N from Avenue 11 (Overpass) (CA-41) to CA-145 (CA-41) due to accident.,93636,2021-09-18 09:53:00,70.0,55.0,29.68,8.0,WNW,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-6686360,2,319,546,0.042,Incident on MEHARRY DR near TALLADEGA AVE Drive with caution.,37421-2955,2020-11-17 04:53:00,37.0,82.0,29.56,10.0,CALM,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,3,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-6596251,2,490,568,0.023,Incident on N 35TH AVE near W NORTHERN AVE Expect delays.,85051-6528,2020-12-14 07:53:00,43.0,51.0,28.36,9.0,NNE,3.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,78,8,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-5448962,2,335,410,0.877,Incident on I-75 NB near NORTH LEE ST Drive with caution.,31029,2022-04-09 05:35:00,37.0,81.0,29.12,10.0,W,6.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,75,3,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-6584106,2,1181,1300,0.24,Incident on CAROUSEL RD near GREENWOOD RD Expect delays.,37411-1015,2020-11-18 19:53:00,45.0,58.0,29.76,10.0,CALM,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,3,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-4022058,2,440,526,0.037,Incident on WOODLAND DR near HOUSE 5000 Expect delays.,70131-8523,2022-07-29 06:55:00,78.0,93.0,30.07,9.0,CALM,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,7,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-1108279,3,624,653,0.0,Lane blocked due to accident on I-610 Eastbound at Franklin Ave.,70122,2021-03-24 10:53:00,67.0,81.0,29.9,10.0,ESE,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,7,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-5194491,2,822,947,0.111,Slow traffic from Bachman Rd (Taft Vineland Rd) to CR-423/S John Young Pkwy (Taft Vineland Rd) due to accident.,32837,2022-02-20 13:53:00,78.0,37.0,30.15,10.0,ESE,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,3,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0
A-3805620,2,1206,1217,0.8170000000000001,Slow traffic on John J Montgomery Fwy S - I-5 S from CA-15 (I-5) to 8th St (I-5) due to accident.,92113,2022-12-05 19:51:00,57.0,69.0,30.03,10.0,CALM,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-4752434,2,1322,18,0.024,Accident on U St from Midtown Dr to Watt Ave / Antelope Rd.,95843-2736,2022-12-12 21:50:00,37.0,93.0,29.89,10.0,SE,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1304,9,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-657577,3,246,273,0.0,Restrictions due to crash on Forest Ln Northbound at I-635 Exit 17 svrd.,75243-5901,2022-04-07 04:15:00,52.0,39.0,29.47,10.0,NNW,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,7,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0
A-5916345,2,1068,1207,1.406,Incident on US-231 NB near W 200 Road closed. Take alternate route.,46135,2021-11-30 17:53:00,41.0,73.0,29.48,10.0,CALM,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,4,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-3805246,2,522,591,0.049,Accident at US Highway 169.,56001,2023-01-21 08:56:00,22.0,96.0,29.02,6.0,SW,9.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,69,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-418374,2,712,742,0.01,Accident on Saginaw Rd at Coldwater Rd.,48458-2401,2017-04-13 11:53:00,43.0,80.0,30.51,10.0,ESE,6.9,0.01,0,0,0,0,0,0,0,0,1,0,0,1,0,30,4,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0
A-5213329,2,989,1114,1.841,Stationary traffic on I-95 N from FL-736/Davie Blvd/Exit 26 (I-95) to FL-816/NW 31st St/Exit 31 (I-95) due to accident.,33311,2022-08-21 16:53:00,91.0,59.0,30.01,10.0,E,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-1848243,2,883,929,0.0,Lane blocked due to accident on GA-74 Northbound at Crosstown Rd.,30269,2019-11-27 14:53:00,77.0,36.0,29.19,10.0,W,7.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,46,3,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-3854994,2,1078,1108,0.49,Stationary traffic on SC-101 from Brockman McClimon Rd (SC-101) to I-85 (SC-101) due to accident.,29651-6731,2022-08-08 17:53:00,89.0,50.0,29.04,10.0,SSW,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-4655747,2,949,1028,0.076,Incident on NW 154TH ST near FAIRWAY DR Drive with caution.,33014-6998,2022-11-04 15:53:00,84.0,51.0,29.96,10.0,NE,16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,3,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-5407248,2,1008,1031,0.341,Slow traffic on US-202 S - US-202 N from PA-23/Schuylkill Pkwy/W 4th St (DeKalb St/US-202) to E Main St (DeKalb St/US-202) due to accident.,19405-1015,2022-04-08 16:55:00,59.0,37.0,29.33,10.0,S,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-4317247,2,865,952,2.2230000000000003,Stationary traffic on I-95 N from Mamaroneck Ave/Exit 18 (I-95) to US-1/Exit 20 (I-95) due to accident.,10528,2022-09-01 13:56:00,82.0,37.0,29.46,10.0,WNW,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-4236420,2,474,600,0.8390000000000001,Accident on I-80 E from Douglas Blvd (I-80) to CA-65 (I-80).,95661,2022-07-20 07:55:00,68.0,46.0,29.86,10.0,S,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,9,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-3947573,2,948,1106,6.121,Slow traffic on Pacific Highway 1 S - I-5 S from OR-43/MacAdam Ave/Exit 299 (I-5) to OR-217/Exit 292 (I-5) due to accident.,97239,2023-02-23 15:53:00,29.0,51.0,29.75,10.0,E,23.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,9,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-5295735,2,91,168,0.208,Incident on CA-99 NB near FIRST AVE Drive with caution.,93215,2022-10-16 01:56:00,60.0,75.0,29.48,10.0,SSE,7.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,77,9,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-1116186,2,414,520,0.0,Accident on FL-826 Northbound after SW 40TH ST.,33155,2021-03-17 06:53:00,73.0,79.0,30.06,10.0,SE,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
A-610346,2,434,464,0.0,Crash on I-405 Northbound at Exit 48 La Tijera Blvd.,90045,2022-05-26 06:53:00,63.0,81.0,29.81,5.0,W,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,9,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
A-1137695,3,773,863,0.0,Right lane blocked due to accident on I-85 Northbound at Exit 54 Pelham Rd.,29615,2021-02-26 12:53:00,47.0,86.0,29.1,2.0,NE,14.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0
A-1475640,2,412,471,0.0,Accident on 3 Bridges Rd at Von Hollen Dr.,29642-7301,2020-05-20 06:47:00,52.0,94.0,28.94,2.0,N,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,2,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0
A-1773140,2,501,546,0.0,Accident on US-290 Westbound at Lexington St.,78653,2019-10-23 08:15:00,55.0,67.0,29.43,10.0,CALM,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,7,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0
A-7385601,2,997,1049,0.0,At Campus Ave/Exit 56 - Accident.,91784,2019-09-30 16:53:00,73.0,37.0,28.79,10.0,WSW,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,9,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-5878699,2,1261,1389,0.127,Accident on CR-25 (CR-46) from I-35W/MN-36 (Cleveland Ave N/CR-46) to County Hwy-46.,55113,2021-10-04 20:53:00,61.0,87.0,29.39,10.0,CALM,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,128,5,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-6793122,2,1122,1229,0.139,Incident on STONESEDGE BLVD near WAMPEE RD Drive with caution.,29566-7075,2020-10-19 18:53:00,73.0,79.0,30.14,10.0,CALM,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,2,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-788279,2,649,694,0.0,Accident on 29th St at Agnew Ave.,73119-2002,2021-12-08 10:52:00,48.0,63.0,28.67,10.0,SSE,9.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,45,7,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-6133181,2,1150,1228,0.105,Incident on PALMAIRE AVE near HOUSE 5800 Expect delays.,85301-2439,2021-08-31 19:18:00,81.0,79.0,28.55,10.0,SW,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,8,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0
A-1177141,2,825,857,0.0,Accident on Yosemite Ave near Shideler Pkwy.,95337-9607,2021-01-28 13:45:00,52.0,86.0,29.72,10.0,S,14.0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,32,9,1,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0
A-445153,3,660,689,0.0099999997764825,Left lane closed due to accident on I-57 Southbound at Exits 345A 345B I-80.,60478,2017-05-20 10:55:00,52.0,100.0,30.05,3.0,East,11.5,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,1
A-2826848,2,961,1020,0.2000000029802322,Entry ramp to PA-581 Eastbound from US-15 Northbound restrictions on entry ramp due to accident.,17011,2018-05-16 15:56:00,64.9,90.0,30.02,2.0,East,6.9,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0
A-7064573,2,824,854,0.0,At Arsenal St/Exit 206 - Accident. Hard shoulder blocked.,63118,2020-06-28 13:53:00,85.0,77.0,29.37,10.0,SE,7.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,6,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-1119142,3,786,909,0.0,Left lane blocked due to accident on I-95 Northbound at Exit 26 Dover Bluff Rd.,31565,2021-03-15 13:15:00,72.0,60.0,30.18,10.0,NE,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-1359624,2,1098,1128,0.0,Accident on US-29 at Welcome Rd.,29697-9669,2020-10-27 18:47:00,72.0,83.0,29.1,10.0,SSW,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-1554494,2,451,557,0.0,Accident on US-6 Eastern Ave at New Boston Rd.,02720-4643,2020-04-14 07:53:00,47.0,54.0,29.91,10.0,NW,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,106,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-1684419,3,918,970,0.0,Right lane blocked due to accident on I-24 Eastbound after Exit 35 US-431 Whites Creek Pike.,37189,2019-12-30 14:53:00,54.0,35.0,29.2,10.0,WSW,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,3,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-1656471,2,701,747,0.0,Accident on Longleaf Dr at South Blvd .,28273,2020-02-19 11:52:00,53.0,66.0,29.52,10.0,NE,9.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,46,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
A-1849571,2,454,583,0.0,Lane blocked due to recovery work and accident on CA-18 Southbound near Running Springs School Rd.,92314,2019-11-27 07:35:00,32.0,87.0,23.0,4.0,SSW,18.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,129,9,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-2080744,2,401,478,0.0,Accident on Catawba Valley Blvd near 9th St Pl.,28602,2019-05-31 06:53:00,69.0,73.0,28.63,10.0,WNW,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,2,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-7283887,2,299,331,0.0,At 14th Ave - Accident.,93230,2020-01-05 04:53:00,43.0,97.0,30.19,0.25,NW,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,9,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
A-5243727,2,315,469,0.647,Accident on I-405 N - San Diego Fwy N from Studebaker Rd (I-405) to Woodruff Ave (I-405).,90815,2022-11-08 05:16:00,60.0,90.0,29.78,4.0,VAR,5.0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,154,9,1,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0
A-4892870,2,1035,1123,0.055,Incident on SAINT CLAUDE AVE near HOUSE 5104 Expect delays.,70117-3602,2022-05-15 17:21:00,87.0,57.0,29.88,10.0,SSW,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,88,7,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,1
A-7027561,2,505,540,0.0,At I-5/Golden State Fwy - Accident.,91352-4101,2020-05-13 08:53:00,61.0,60.0,29.16,10.0,SE,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,9,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-7316200,2,886,1150,0.203,At Mt Tabor Ave/Brooklyn Rd - Accident.,05253,2019-12-16 14:56:00,27.0,51.0,29.36,10.0,N,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-7393325,2,169,202,0.0,At Sand Canyon Rd - Accident.,91387,2019-09-21 02:51:00,64.0,84.0,29.03,10.0,CALM,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,9,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-2162206,2,686,746,0.0,Accident on 2nd St at Walker Ave.,73109-5012,2019-04-11 11:52:00,48.0,42.0,28.35,10.0,WNW,21.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,60,7,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
